pydi_id,player_name,positions_position,clubs_club,nationality,matches_played_3s,minutes_played_3s,goals_3s,assists_3s,penalty_goals_3s,tackles_won_percentage_3s,goals_per_shot_3s,pass_completion_percentage_3s,save_percentage_3s,clean_sheet_percentage_3s,penalty_save_percentage_3s
left_000364,Alfonso González,"MF,FW, FW,MF","Monterrey, Pachuca",MEX,73,3852,17,13,0,61.68,0.15,73.85,0,0,0
left_000365,Alfonso Pedraza,"DF,MF, DF",Villarreal,ESP,50,2923,1,6,0,60,0.03,76.5,0,0,0
left_000366,Alfonso Trezza,"FW,MF",Arouca,URU,57,3260,5,2,0,70.97,0.09,66.83,0,0,0
left_000367,Alfred Duncan,MF,Fiorentina,GHA,55,2991,3,5,0,60.38,0.09,77.77,0,0,0
left_000368,Alfredo Gutierrez,DF,Necaxa,MEX,1,82,0,0,0,75,0,73.91,0,0,0
left_000369,Alfredo Talavera,GK,FC Juárez,MEX,51,4529,0,0,0,0,0,73.48,68.09,11.76,0
left_000370,Alfreð Finnbogason,FW,Eupen,ISL,27,1123,1,3,0,40,0.04,62.81,0,0,0
left_000371,Alhassan Yusuf,"MF, MF,DF",Antwerp,NGA,43,2666,0,3,0,64.04,0,83.7,0,0,0
left_000372,Ali Abdi,DF,Nice,TUN,1,45,0,0,0,0,0,76.47,0,0,0
left_000373,Ali Akman,"FW,MF",Dender,TUR,4,44,1,0,0,66.67,1,69.57,0,0,0
left_000374,Ali Alipour,"FW,MF, FW",Gil Vicente FC,IRN,34,1331,4,1,1,46.67,0.14,65.92,0,0,0
left_000375,Ali Gholizadeh,"MF,FW",Charleroi,IRN,20,971,1,1,0,42.86,0.04,73.88,0,0,0
left_000376,Ali Houary,MF,Elche,MAR,2,123,0,0,0,50,0,87.04,0,0,0
left_000377,Ali Jasim,"FW,MF",Almere City,IRQ,11,437,1,0,0,75,0.09,82.78,0,0,0
left_000378,Ali Maamar,"DF,MF",Anderlecht,MAR,6,425,0,0,0,50,0,80,0,0,0
left_000379,Ali Ávila,"FW,MF, FW","Monterrey, UNAM",MEX,26,603,3,0,0,57.14,0.2,73.38,0,0,0
left_000380,Alidu Seidu,DF,"Rennes, Clermont Foot",GHA,57,4380,0,2,0,60.91,0,84.17,0,0,0
left_000381,Alieu Fadera,"FW,DF, FW,MF, MF","Sassuolo, Zulte Waregem, Genk",GAM,57,4016,10,8,0,66.88,0.14,70.74,0,0,0
