Player_Name,Nationality_Full,Position_FBref,Club_FBref,Matches_Played,Minutes_Played,Gls,Ast,PK,G_per_Sh_Standard,Cmp_percent_Total,TklW_Percent
Jean Harisson Marcelin,MAD,DF,['Cercle Brugge'],15,749.0,0,1,0,0.0,69.13,68.18
Jean Lucas,Brazil,MF,['Monaco'],6,291.0,0,0,0,0.0,87.01,55.56
Jean Mattéo Bahoya,France,FW,"['Angers', 'Eint Frankfurt']",22,717.0,2,1,0,0.17,78.91,33.33
Jean Meneses,CHI,FW,['Toluca'],69,5113.0,14,15,0,0.11,78.07,60.47
Jean Onana,CMR,MF,"['Marseille', 'Lens']",34,1376.0,1,0,0,0.06,86.54,60.78
Jean Thierry Lazare,CIV,MF,"['Standard Liège', 'Union SG']",72,4428.0,3,8,0,0.05,72.63,62.07
Jean-Charles Castelletto,CMR,DF,['Nantes'],60,5032.0,2,0,0,0.11,83.93,67.53
Jean-Clair Todibo,France,DF,"['West Ham', 'Nice']",66,5647.0,0,2,0,0.0,89.13,56.2
Jean-Claude Billong,CMR,MF,['Clermont Foot'],1,23.0,0,0,0,0.0,97.06,0.0
Jean-Daniel Akpa-Akpro,CIV,MF,"['Hellas Verona', 'Empoli', 'Monza']",47,2258.0,1,1,0,0.04,77.45,65.33
Jean-Eudes Aholou,CIV,MF,['Strasbourg'],30,1300.0,3,1,0,0.14,75.51,58.82
Jean-Kevin Duverne,HAI,DF,"['Kortrijk', 'Nantes', 'Brest']",60,4493.0,3,0,0,0.2,72.88,53.12
Jean-Louis Leca,France,GK,['Lens'],2,180.0,0,0,0,0.0,73.85,0.0
Jean-Luc Dompé,France,FW,"['Zulte Waregem', 'Hamburger SV']",8,501.0,0,0,0,0.0,73.44,100.0
Jean-Manuel Mbom,Germany,MF,['Werder Bremen'],2,6.0,0,0,0,0.0,66.67,0.0
Jean-Paul Boëtius,SUR,MF,['Hertha BSC'],21,1050.0,0,0,0,0.0,71.97,53.33
Jean-Philippe Gbamin,CIV,DF,['Metz'],6,540.0,1,0,0,0.5,90.78,50.0
Jean-Philippe Krasso,CIV,FW,['Paris FC'],7,226.0,2,1,1,0.25,68.52,100.0
Jean-Philippe Mateta,France,FW,['Crystal Palace'],70,3583.0,20,5,3,0.24,70.44,56.67
Jean-Ricner Bellegarde,HAI,Other,"['Strasbourg', 'Wolves']",61,3887.0,6,9,0,0.09,76.27,56.0
Jean-Victor Makengo,France,MF,"['Udinese', 'Lorient']",46,2542.0,0,2,0,0.0,86.63,65.0
Jeanuël Belocian,France,DF,['Rennes'],31,1954.0,0,1,0,0.0,88.29,69.05
Jeff Ekhator,Italy,Other,['Genoa'],5,85.0,0,0,0,0.0,40.0,100.0
Jeff Hardeveld,Netherlands,DF,['Emmen'],6,354.0,0,0,0,0.0,76.34,86.67
